1,Bagaimana cara mendaftar ke SMK ICB Cinta Niaga?,"Pendaftaran dapat dilakukan secara online melalui website resmi sekolah atau langsung datang ke kantor tata usaha. Dokumen yang diperlukan: ijazah SMP/MTs, KK, KTP orang tua, dan pas foto 3x4. Untuk info lebih lanjut hubungi admin kami.","daftar,pendaftaran,ppdb,cara daftar,mendaftar,registrasi,masuk sekolah,masuk smk,mau masuk,mau daftar,syarat masuk,persyaratan,penerimaan siswa baru,daftar siswa baru,cara masuk,formulir pendaftaran,proses pendaftaran,gimana daftar",ppdb,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
2,Berapa biaya pendaftaran SMK ICB Cinta Niaga?,Biaya pendaftaran dapat berubah setiap tahun ajaran. Silakan hubungi admin kami melalui WhatsApp untuk informasi biaya terkini.,"biaya,biaya daftar,uang daftar,bayar,harga daftar,berapa biaya,uang sekolah,spp,biaya sekolah,biaya masuk,uang masuk,beasiswa,kip,pip,gratis,tarif,iuran,pembayaran",ppdb,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
3,Kapan jadwal penerimaan siswa baru?,Jadwal PPDB biasanya dibuka pada bulan Januari hingga Juni setiap tahunnya. Pantau terus website dan media sosial sekolah untuk pengumuman resmi.,"jadwal,ppdb,kapan,penerimaan,siswa baru,tahun ajaran,jadwal ppdb,kapan daftar,jadwal pendaftaran,gelombang,batas pendaftaran,deadline daftar,penerimaan murid baru",ppdb,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
4,Apa saja jurusan yang tersedia di SMK ICB Cinta Niaga?,"SMK ICB Cinta Niaga memiliki 4 jurusan unggulan: 1) Rekayasa Perangkat Lunak (RPL), 2) Bisnis Ritel, 3) Akuntansi dan Keuangan Lembaga, 4) Manajemen Perkantoran. Setiap jurusan memiliki prospek karir yang luas.","jurusan,program keahlian,kompetensi,rpl,bisnis ritel,akuntansi,manajemen perkantoran,jurusan apa saja,ada jurusan apa,pilihan jurusan,program studi,jurusan smk",jurusan,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
5,Apa itu jurusan RPL?,"Rekayasa Perangkat Lunak (RPL) mempelajari pemrograman, pengembangan aplikasi, web development, dan teknologi informasi. Lulusan RPL dapat bekerja sebagai programmer, web developer, atau melanjutkan kuliah di bidang IT.","rpl,rekayasa perangkat lunak,coding,pemrograman,software developer,web developer,programmer,it,teknologi informasi,jurusan rpl,belajar coding",jurusan,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
6,Apa prospek kerja jurusan Akuntansi?,"Lulusan Akuntansi dan Keuangan Lembaga dapat bekerja sebagai staf keuangan, akuntan junior, teller bank, atau kasir profesional. Banyak lulusan kami yang diterima di perusahaan swasta dan instansi pemerintah.","akuntansi,akl,keuangan,pembukuan,akuntan,bank,teller,pajak,laporan keuangan,jurusan akuntansi,prospek akuntansi",jurusan,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
7,Apa itu jurusan Bisnis Ritel?,"Bisnis Ritel mempelajari manajemen toko, merchandising, pemasaran, dan pelayanan pelanggan. Lulusan dapat bekerja di supermarket, minimarket, e-commerce, atau membuka usaha sendiri.","bisnis ritel,ritel,pemasaran,marketing,penjualan,toko,jurusan bisnis,bisnis,jurusan ritel",jurusan,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
8,Apa itu jurusan Manajemen Perkantoran?,"Manajemen Perkantoran mempelajari administrasi, kesekretariatan, korespondensi, dan manajemen dokumen. Lulusan dapat bekerja sebagai sekretaris, staf administrasi, atau staff HRD.","manajemen perkantoran,perkantoran,administrasi,otomatisasi,arsip,sekretaris,administrasi perkantoran,jurusan perkantoran",jurusan,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
9,Apa saja fasilitas yang ada di SMK ICB Cinta Niaga?,"Fasilitas kami meliputi: laboratorium komputer, laboratorium akuntansi, ruang praktik perkantoran, perpustakaan, mushola, kantin, lapangan olahraga, dan ruang OSIS. Semua dirancang untuk mendukung kegiatan belajar mengajar.","fasilitas,lab,laboratorium,lab komputer,perpustakaan,kantin,lapangan,mushola,wifi,internet,aula,ruang praktik,sarana,prasarana,fasilitas sekolah",fasilitas,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
10,Di mana lokasi SMK ICB Cinta Niaga?,"SMK ICB Cinta Niaga berlokasi di Jl. Otto Iskandar Dinata No.36, Kota Bandung, Jawa Barat. Mudah dijangkau dengan kendaraan umum maupun pribadi.","lokasi,alamat,dimana,di mana,letak sekolah,google maps,maps,jalan,bandung,tempat sekolah,arah ke sekolah",umum,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
11,Berapa lama masa belajar di SMK ICB Cinta Niaga?,"Masa belajar di SMK adalah 3 tahun (Kelas X, XI, XII). Selama 3 tahun tersebut siswa mendapatkan teori, praktik, dan program PKL (Praktik Kerja Lapangan) di perusahaan mitra.","masa belajar,berapa tahun,lama sekolah,3 tahun,kelas x,kelas xi,kelas xii,pkl,praktik kerja lapangan",umum,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
12,Apakah ada kegiatan ekstrakurikuler?,"Tersedia banyak ekstrakurikuler: OSIS, Pramuka, Angklung, Boxing, Dance, English Club, Japanese Club, Paduan Suara, SISPALA, dan Basket. Siswa bebas memilih sesuai minat dan bakat.","ekskul,ekstrakurikuler,osis,pramuka,basket,dance,angklung,boxing,japanese club,english club,paduan suara,sispala,kegiatan siswa",umum,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
13,Apakah SMK ICB Cinta Niaga sudah terakreditasi?,"Ya, SMK ICB Cinta Niaga telah meraih Akreditasi A — akreditasi tertinggi dari Badan Akreditasi Nasional. Ini menjamin kualitas pendidikan yang kami berikan.","akreditasi,terakreditasi,nilai akreditasi,status sekolah,resmi,sekolah resmi",umum,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
14,Bagaimana cara menghubungi SMK ICB Cinta Niaga?,"Anda dapat menghubungi kami melalui: WhatsApp Admin, email sekolah, atau datang langsung ke kantor tata usaha pada hari kerja pukul 07.00–15.00 WIB.","kontak,hubungi,telepon,telp,nomor whatsapp,wa,email,instagram,media sosial,sosmed,nomor sekolah",umum,t,2026-06-01 19:01:20.917709,2026-06-01 19:01:20.917709
